,x,y,z
femur head center left ,101.19353927783,-29.460482913344265,22.90211509617939
femur head center right,-68.27858006748642,-22.241054242305253,7.154935772547407
interacetabular left,75.70386706868214,-20.2796513724631,21.97555400508224
interacetabular right,-39.56634452995263,-17.45762035584174,8.06134853528921
isch spine left,73.51241485500387,21.16977517497265,16.10548918188873
isch spine right,-32.97951173543439,24.00054602800081,8.285193744907659
ischial tuberosity left,99.17279901339828,21.85540015142153,-19.333772446387165
ischial tuberosity right,-53.62272477917966,26.33927737760382,-22.724212158402555
symph_0,20.254037282425834,-37.590796612091054,-27.36781824029482
symph_1,19.61135054980653,-45.42820695374721,-20.867211420665715
symph_2,19.981603175248516,-54.605468937699904,-16.66283968160322
