,x,y,z
0,-2.539813995321595,-8.692149405305287,-56.77141515229263
1,-1.1190761184752631,-2.9129500709311262,-51.397907331411304
2,-5.057059677311876,-13.102114894726286,-48.36465298310618
3,-5.431193897209523,-16.3283669064787,-39.10347391443936
4,-5.09113434414504,-23.93381309804679,-32.167534661831766
5,-5.42383240383245,-32.681375164287665,-26.619949949476755
6,-6.785442456960157,-24.108992480534326,-22.949447653217966
7,-9.868851021102497,-13.705704834145608,-18.69351903371988
8,-13.909064143072115,-6.880983399377801,-14.274387629973372
9,-17.415388084328157,3.895108861301708,-12.379693932248548
