,x,y,z
femur head center left ,96.38699079899992,-52.3357757173403,0.0504062627285823
femur head center right,-84.34545496365703,-50.07295850430317,-4.949998272616079
interacetabular left,71.00961344565864,-45.2845308908828,0.0459888396947348
interacetabular right,-56.818282733341945,-43.975847241737455,-4.954108638036793
isch spine left,66.68894047733387,-0.4980459445239873,-2.135007366105434
isch spine right,-56.17955739641506,-2.87754150193814,-2.135007366105434
ischial tuberosity left,87.85865736098862,-2.507608315723488,-38.3457358058537
ischial tuberosity right,-68.71283404634605,2.493979111015584,-38.3480549487812
symph_0,7.14610090761105,-69.11455978236792,-34.60552605917964
symph_1,6.455363017079822,-76.56528428309308,-28.195397279531313
symph_2,6.449927676396413,-83.53505845797423,-21.189301869923572
