,x,y,z
femur head center left ,87.91256461887224,-38.804245771050056,-38.12210160040554
femur head center right,-84.56449960131127,-35.483933147111955,-42.13412401589016
interacetabular left,57.94314565862759,-32.68840230452461,-38.18887280448384
interacetabular right,-52.76021825574552,-30.59125837389159,-42.187540979152814
isch spine left,52.687990230896645,8.242417219179998,-39.27760998986368
isch spine right,-47.68873474058732,6.011957166558091,-39.25325837332622
ischial tuberosity left,68.95217318156332,12.798201460465862,-73.68548464032358
ischial tuberosity right,-62.5462977664489,14.632954500423551,-73.70551600154697
symph_0,1.9030871237297364,-55.336505686189625,-68.4158138721614
symph_1,1.3686850510550899,-63.844367427555646,-61.045771021145434
symph_2,2.007904518861213,-73.33471713873917,-54.99216192639607
