,x,y,z
0,-21.47925655358874,-21.353968440681488,-93.9544851719738
1,-19.451992578886127,-32.696621455667554,-92.16895129081432
2,-21.495074058903032,-28.039826215123767,-87.74910063740974
3,-21.893721459097023,-27.845547598457728,-82.9981007089838
4,-20.70665891941373,-33.40034130002823,-78.14487238735879
5,-19.824969605022368,-37.51738055002681,-72.15672256204564
6,-21.269917672632705,-37.33314318278079,-68.27907453032604
7,-25.59473346944657,-30.594908371878905,-66.44518782023815
8,-27.264774066312942,-25.992635786989553,-61.42992586611309
9,-30.14118385314941,-26.69667625427246,-55.37964630126953
