,x,y,z
0,-30.21045684814453,-2.046602964401245,-46.4033203125
1,-34.66701408986513,-9.7410806157211,-43.620044385901444
2,-34.27866455813691,-8.432621360860006,-37.18005832683375
3,-35.74827823970678,-9.939698922240646,-30.772344888254075
4,-36.79057485639476,-8.011898285424154,-24.364647255848507
5,-38.10091713257826,-3.2494613833714707,-19.243828048260706
6,-40.29574134422564,-2.7760739321108736,-13.622606935651884
7,-42.35478892865235,-6.226969975507574,-7.757144694019035
8,-44.320416945596904,-3.90726918886471,-2.0259886522503203
9,-41.95200982765728,4.12463217783359,-0.6478700000000277
