,x,y,z
femur head center left ,81.0600017268976,-14.1355990702829,21.84427511828534
femur head center right,-84.06808846869188,-17.340600065416787,13.425980324000378
interacetabular left,52.28325140350617,-7.952289592643048,21.84427511828534
interacetabular right,-59.01631919401117,-10.20076576633027,13.425980324000378
isch spine left,41.04909248884776,34.44200759556131,16.53441093247538
isch spine right,-55.815457297225294,26.33316812045921,9.713799999999498
ischial tuberosity left,64.5965968939322,32.1599146767543,-20.28620000000033
ischial tuberosity right,-64.95777283686358,32.440943678339536,-20.28620000000033
symph_0,-2.0119457517373402,-31.275511189911334,-21.441306916373428
symph_1,-1.1673091473170913,-34.968561589699945,-13.714786916128174
symph_2,-1.1753116229889473,-43.76558565112215,-10.032807655015047
