,x,y,z
femur head center left ,75.27575003058102,10.880177064220192,45.33337721501635
femur head center right,-90.00808788990827,9.939901834862384,49.1041111599705
interacetabular left,46.51329179600887,14.87634724770642,44.7326
interacetabular right,-63.0287623853211,12.995796788990816,49.732596551724136
isch spine left,38.96618502298219,67.35864967824966,55.49290689655173
isch spine right,-55.46680546623794,51.613810344827584,63.96930192926045
ischial tuberosity left,55.68106348623853,74.81889266055046,18.13379965517241
ischial tuberosity right,-76.89774385321101,71.52792935779817,18.13379965517241
symph_0,-10.383356178847286,-2.685763116437233,14.01611293133307
symph_1,-10.379784190708039,-12.981413201369115,19.165571194608567
symph_2,-9.534430332744478,-23.472949881730774,23.931430690960124
