,x,y,z
0,-27.12803649902344,-18.02314567565918,-55.734642028808594
1,-27.933072521891702,-19.408099486142746,-52.58246228160676
2,-28.75834145295307,-21.282740622470623,-49.66843954529628
3,-28.706919811682507,-23.239783264456957,-46.798402743582315
4,-27.923298723375588,-25.37513778514633,-44.037002007115
5,-27.199653652799324,-27.952418393583592,-41.53282585237041
6,-26.98367543223917,-30.16721754384742,-38.870715336596916
7,-27.44479727652844,-31.129755182735625,-35.579533090207335
8,-28.05406681412977,-31.563198444785545,-31.98537635341716
9,-28.067100931010287,-32.68871753481448,-28.66049999999997
