,x,y,z
projectedLM-1,-25.464130401611328,-14.146574020385742,-56.47163391113281
projectedLM-2,-24.100341796875,-1.6947932243347168,-57.92665863037109
projectedLM-3,-22.83275032043457,13.017135620117188,-59.61246871948242
projectedLM-4,10.206293106079102,4.195044994354248,-63.51817321777344
projectedLM-5,-21.44273376464844,17.685739517211914,-58.93808364868164
projectedLM-6,-24.53274726867676,-6.178319454193115,-55.76372909545898
projectedLM-7,7.281305313110352,10.60348892211914,-65.78466033935547
projectedLM-8,-18.320423126220703,25.432090759277344,-61.35317611694336
projectedLM-9,14.788582801818848,-5.472764492034912,-59.67352294921875
projectedLM-10,-23.75517845153809,0.4627230167388916,-56.145503997802734
projectedLM-11,7.85711669921875,10.74262237548828,-61.000267028808594
projectedLM-12,3.4820942878723145,19.39149475097656,-63.40128326416016
projectedLM-13,0.8835591673851013,23.508079528808597,-65.8159408569336
projectedLM-14,-15.707771301269531,26.682342529296875,-59.39839553833008
projectedLM-15,-14.317147254943848,29.16865539550781,-61.83211898803711
projectedLM-16,-25.74992179870605,-11.758896827697754,-53.39631652832031
projectedLM-17,12.0295991897583,1.5854374170303345,-59.967735290527344
projectedLM-18,-22.79313087463379,9.746891975402832,-57.35812759399414
projectedLM-19,-2.75070595741272,26.520038604736328,-61.92790222167969
projectedLM-20,-13.435487747192385,30.420148849487305,-63.08360290527344
projectedLM-21,-20.958202362060547,16.174217224121094,-56.41206359863281
projectedLM-22,-25.03794288635254,-8.083081245422363,-53.15707015991211
projectedLM-23,16.498937606811523,-9.549077987670898,-57.96580123901367
projectedLM-24,-17.778072357177734,22.505056381225582,-56.70589447021485
projectedLM-25,-12.58353328704834,27.079288482666016,-57.7705192565918
projectedLM-26,-27.359878540039062,-16.917810440063477,-52.5301399230957
projectedLM-27,-23.719194412231445,-0.5886310338973999,-53.39391708374024
projectedLM-28,10.49351692199707,6.507496356964111,-55.928558349609375
projectedLM-29,7.542228698730469,11.99164581298828,-57.13939666748047
projectedLM-30,2.843738317489624,19.642457962036133,-59.40838623046875
projectedLM-31,-1.666146755218506,23.41570854187012,-56.412628173828125
projectedLM-32,15.086755752563477,-3.294309377670288,-54.589820861816406
projectedLM-33,-21.718982696533203,7.011693477630615,-52.014137268066406
projectedLM-34,-9.909534454345703,26.832542419433597,-57.03066635131836
projectedLM-35,-19.285348892211918,15.01525592803955,-52.85115814208984
projectedLM-36,-28.11347770690918,-20.2553653717041,-48.21114730834961
projectedLM-37,18.948326110839844,-13.12791633605957,-52.96917724609375
projectedLM-38,-26.74150657653809,-13.49509334564209,-49.33885192871094
projectedLM-39,-24.95909881591797,-6.480924606323242,-50.26620101928711
projectedLM-40,6.009209632873535,14.61361312866211,-53.98686599731445
projectedLM-41,-15.71015167236328,20.77296257019043,-53.02138900756836
projectedLM-42,1.897455096244812,19.308639526367188,-54.04898452758789
projectedLM-43,18.229719161987305,-9.685826301574709,-51.0146713256836
projectedLM-44,-22.984783172607425,1.188561201095581,-49.59670639038086
projectedLM-45,14.509552001953123,-0.9223620295524596,-52.02174758911133
projectedLM-46,10.463153839111328,7.480408191680908,-50.6810188293457
projectedLM-47,-9.854555130004885,22.65111351013184,-52.03482437133789
projectedLM-48,-28.16709327697754,-24.555700302124023,-44.32139587402344
projectedLM-49,-20.16878890991211,8.487993240356445,-48.60992813110352
projectedLM-50,-2.1096811294555664,21.708988189697266,-52.42898941040039
projectedLM-51,-27.768617630004883,-20.034236907958984,-39.72311401367188
projectedLM-52,-26.545276641845703,-10.983691215515137,-45.00022506713867
projectedLM-53,17.255943298339844,-6.245866298675537,-47.107452392578125
projectedLM-54,-17.099271774291992,13.492979049682615,-47.88449478149414
projectedLM-55,5.020078182220459,15.35385036468506,-49.23819351196289
projectedLM-56,21.260662078857425,-17.91197395324707,-45.98863983154297
projectedLM-57,-24.50908088684082,-3.980423927307129,-43.842559814453125
projectedLM-58,12.424616813659668,3.0933947563171387,-47.98598861694336
projectedLM-59,-14.090967178344728,17.26408576965332,-47.22223663330078
projectedLM-60,-9.212629318237305,20.898935317993164,-47.47555160522461
projectedLM-61,-4.304951190948486,20.91729736328125,-48.00830841064453
projectedLM-62,-27.8018856048584,-29.635046005249023,-34.898868560791016
projectedLM-63,20.104026794433597,-12.35939121246338,-44.10633850097656
projectedLM-64,8.782877922058105,8.756028175354004,-43.43595504760742
projectedLM-65,0.772520899772644,18.803926467895508,-46.642208099365234
projectedLM-66,-26.13695335388184,-19.460336685180664,-32.06767654418945
projectedLM-67,-25.60383033752441,-9.093889236450195,-41.0166130065918
projectedLM-68,-22.135303497314453,2.947600841522217,-42.37228393554688
projectedLM-69,-19.678449630737305,9.159875869750977,-43.25514602661133
projectedLM-70,14.19648265838623,-1.007866144180298,-44.63885116577149
projectedLM-71,6.457223415374756,12.89366054534912,-43.79839706420898
projectedLM-72,-17.713411331176758,14.075871467590332,-42.4803581237793
projectedLM-73,23.441295623779297,-21.818159103393555,-39.43587875366211
projectedLM-74,-22.79244613647461,-2.5459933280944824,-37.56717300415039
projectedLM-75,11.266709327697754,3.253535032272339,-41.37325286865234
projectedLM-76,-15.197449684143066,18.755035400390625,-41.9879035949707
projectedLM-77,-1.7163244485855105,20.15505027770996,-42.15283966064453
projectedLM-78,-10.626707077026367,22.33663558959961,-43.17927551269531
projectedLM-79,21.660572052001957,-15.815792083740234,-37.40296173095703
projectedLM-80,-24.274545669555664,-11.624189376831056,-31.76755714416504
projectedLM-81,-20.08562469482422,6.802093029022217,-36.27172088623047
projectedLM-82,2.767819166183472,17.048791885375977,-41.36959838867188
projectedLM-83,-25.61432647705078,-12.77982234954834,-36.34375762939453
projectedLM-84,9.816346168518066,7.885811805725098,-38.396602630615234
projectedLM-85,-17.04791259765625,13.236183166503906,-32.829830169677734
projectedLM-86,-4.449583530426025,21.15987777709961,-38.78750228881836
projectedLM-87,23.17992210388184,-18.43643569946289,-33.07536697387695
projectedLM-88,17.4050350189209,-6.415010452270508,-37.0721435546875
projectedLM-89,-23.46363067626953,-6.111026763916016,-27.080501556396484
projectedLM-90,14.567776679992676,-0.6917847394943237,-38.409912109375
projectedLM-91,-21.795141220092773,-0.1970641165971756,-30.929594039916992
projectedLM-92,6.633760929107666,12.488966941833496,-37.31402206420898
projectedLM-93,-13.104476928710938,18.97279167175293,-35.662391662597656
projectedLM-94,14.222685813903809,-0.8778338432312012,-33.032806396484375
projectedLM-95,-13.654887199401855,15.710952758789062,-28.96986389160156
projectedLM-96,0.7932441830635071,18.17130470275879,-36.1528205871582
projectedLM-97,-9.496004104614258,20.85797691345215,-34.95933151245117
projectedLM-98,-19.93350601196289,6.073576927185059,-27.0170841217041
projectedLM-99,-3.4828498363494877,19.40847969055176,-31.77956962585449
projectedLM-100,20.413236618041992,-11.893828392028809,-32.19151306152344
projectedLM-101,9.856630325317385,6.495126247406006,-32.52805709838867
projectedLM-102,4.78241777420044,13.740715026855469,-32.736175537109375
